,release,title,origin,director,cast,genre
13,1907,Daniel Boone,American,Wallace McCutcheon and Ediwin S. Porter,"William Craven, Florence Lawrence",biographical
15,1907,Laughing Gas,American,Edwin Stanton Porter,"Bertha Regustus, Edward Boulden",comedy
16,1908,The Adventures of Dollie,American,D. W. Griffith,"Arthur V. Johnson, Linda Arvidson",drama
17,1908,The Black Viper,American,D. W. Griffith,D. W. Griffith,drama
18,1908,A Calamitous Elopement,American,D.W. Griffith,"Harry Solter, Linda Arvidson",comedy
19,1908,The Call of the Wild,American,D. W. Griffith,Charles Inslee,adventure
20,1908,A Christmas Carol,American,,Tom Ricketts,drama
21,1908,The Fight for Freedom,American,D. W. Griffith,"Florence Auer, John G. Adolfi",western
22,1909,At the Altar,American,D. W. Griffith,Marion Leonard,drama
23,1909,A Drunkard's Reformation,American,D. W. Griffith,Arthur V. Johnson,drama
26,1910,An Arcadian Maid,American,D.W. Griffith,"Mary Pickford, Mack Sennett",drama
30,1910,The House with Closed Shutters,American,D.W. Griffith,Henry B. Walthall,drama
31,1910,A Lad from Old Ireland,American,Sidney Olcott,"Sidney Olcott, Gene Gauntier, Thomas O'Connor",drama
32,1910,Pocahontas,American,,"Anna Rosemond, George Barnes, Frank H. Crane",short fantasy
33,1910,Ramona,American,D. W. Griffith,"Mary Pickford, Henry B. Walthall",drama
36,1911,Baseball and Bloomers,American,,"William Garwood, Marguerite Snow",silent sports
37,1911,The Black Arrow: A Tale of the Two Roses,American,Oscar Apfel,"Charles Ogle, Natalie Jerome",drama
38,1911,Brown of Harvard,American,Colin Campbell,Edgar G. Wynn,drama
40,1911,David Copperfield,American,Theodore Marston,"Marie Eline, Florence La Badie, Mignon Anderson, William Russell",drama
42,1911,Sweet Memories,American,Thomas H. Ince,"Mary Pickford, King Baggot",drama
44,1912,Dr. Jekyll and Mr. Hyde,American,Lucius Henderson,James Cruze,horror
46,1912,The Musketeers of Pig Alley,American,D. W. Griffith,"Elmer Booth, Lillian Gish",drama
48,1912,Petticoat Camp,American,,"William Garwood, Florence La Badie",comedy
49,1912,Put Yourself in His Place,American,Theodore Marston,"William Garwood, Marguerite Snow",drama
52,1913,Barney Oldfield's Race for a Life,American,Mack Sennett,"Mack Sennett, Mabel Normand, Ford Sterling, Barney Oldfield",comedy
53,1913,Bob's Baby,American,,Jean Acker,comedy
54,1913,Cohen Saves the Flag,American,Mack Sennett,"Ford Sterling, Mabel Normand",comedy
55,1913,Dr. Jekyll and Mr. Hyde,American,Herbert Brenon and Carl Laemmle,King Baggot,horror
56,1913,The Evidence of the Film,American,"Lawrence Marston, Edwin Thanhouser","William Garwood, Marie Eline",crime
